Wall time,Step,Value
1521315827.5895889,3272,2980.0
1521316470.7922735,3281,3300.0
1521316621.0619586,3283,5080.0
1521316784.6108415,3285,4330.0
1521317097.7605371,3289,5190.0
1521317326.4609163,3292,3590.0
1521318306.814945,3305,980.0
1521318399.9103084,3306,4900.0
1521318456.2752671,3307,1880.0
1521318937.8250203,3313,4910.0
1521319602.3062303,3321,2460.0
1521320075.7533665,3327,4880.0
1521320130.4436479,3328,2120.0
1521320216.2058144,3329,5370.0
1521320540.3991888,3333,5130.0
1521320940.2758827,3338,4670.0
1521321533.181885,3345,3560.0
1521322250.85624,3353,6490.0
1521322585.4981964,3357,5510.0
1521322886.4856026,3361,4310.0
1521323064.9352438,3363,6140.0
1521323572.909175,3369,5730.0
1521323830.9233708,3372,4110.0
1521323993.7313757,3374,3570.0
1521324108.5935106,3376,5410.0
1521324276.288263,3378,5010.0
1521324523.3189197,3381,3450.0
1521324715.65413,3383,3700.0
1521324956.6431067,3386,3670.0
1521325837.6276248,3398,5990.0
1521326189.239412,3403,2940.0
1521326273.1963882,3404,6790.0
1521326561.0602424,3408,3560.0
1521327052.5702229,3415,5600.0
1521327861.1245773,3426,5180.0
1521328076.260001,3429,1820.0
1521328166.5628097,3430,6320.0
1521328403.8740625,3433,4620.0
1521328778.0210118,3438,2400.0
1521329132.1865623,3444,3510.0
1521329222.5326147,3445,5050.0
1521329513.0828598,3449,4660.0
1521329670.680345,3451,4100.0
1521330039.543913,3457,4700.0
1521330117.8527265,3458,6020.0
1521330507.9795768,3464,1380.0
1521330928.2195704,3471,3710.0
1521331384.870287,3477,4860.0
1521331590.2154872,3480,5320.0
1521331973.0141208,3486,1980.0
1521332738.9767013,3497,2300.0
1521332874.5978777,3499,1280.0
1521332948.6556404,3500,3570.0
1521333264.9542027,3505,3740.0
1521333341.086183,3506,4300.0
1521333542.730246,3509,1540.0
1521333667.5413954,3511,3530.0
1521333742.8206093,3512,3900.0
1521333848.3804948,3514,3500.0
1521334210.9992464,3519,1780.0
1521334804.9230192,3529,2720.0
1521335158.881078,3535,4210.0
1521335307.5459802,3537,3750.0
1521335382.5789285,3538,4000.0
1521335576.5320776,3542,1340.0
1521335630.7019513,3543,1760.0
1521335860.6021705,3547,5480.0
1521335979.6840558,3549,3580.0
1521336207.829537,3555,220.0
1521336261.8598387,3556,2560.0
1521336401.818764,3559,940.0
1521336537.7739801,3563,1660.0
1521337140.671506,3575,560.0
1521337392.5400624,3580,1060.0
1521337448.263752,3581,3150.0
1521337523.5116243,3583,1760.0
1521338127.1399581,3592,1900.0
1521338207.9497225,3593,2700.0
1521338608.3252602,3599,3840.0
1521338661.0312102,3600,1620.0
1521339588.0270555,3614,1640.0
1521339822.5399961,3618,6870.0
1521339959.915332,3620,2060.0
1521340062.505824,3622,1200.0
1521340242.2224274,3625,2400.0
1521340460.129325,3628,3080.0
1521340961.7631314,3637,2820.0
1521341337.760314,3643,1080.0
1521341466.5986671,3645,4720.0
1521342169.8170953,3656,4010.0
1521342212.3806484,3657,2250.0
1521342563.8194351,3663,4100.0
1521343054.9659,3670,4240.0
1521344436.4895864,3694,2400.0
1521344532.0813673,3695,5940.0
1521344696.9942994,3697,4100.0
1521344889.1334498,3700,2520.0
1521345013.3702838,3702,3180.0
1521346413.8525438,3723,2520.0
1521346561.8461154,3726,1220.0
1521346844.9812253,3730,5340.0
