Wall time,Step,Value
1521275889.7794275,7478,750.0
1521276350.3675168,7502,800.0
1521276537.1048505,7511,825.0
1521276937.1032538,7530,375.0
1521277260.0764744,7547,800.0
1521278283.3303804,7596,700.0
1521278585.9609365,7609,3900.0
1521278646.4569435,7612,1300.0
1521279313.8399887,7643,3725.0
1521279335.505777,7644,500.0
1521279680.565582,7661,675.0
1521279901.5329945,7671,4200.0
1521280011.2809398,7676,800.0
1521280227.1402483,7687,825.0
1521280349.6139984,7693,4075.0
1521280481.775128,7700,25.0
1521280825.5776665,7718,850.0
1521280934.3124597,7723,825.0
1521281035.8919246,7728,450.0
1521281414.5030723,7746,525.0
1521281685.3334746,7757,3825.0
1521281739.116665,7760,800.0
1521282185.631373,7780,800.0
1521282376.0345356,7788,4175.0
1521282567.7408621,7798,825.0
1521282807.6994402,7810,4125.0
1521283278.5528767,7833,4125.0
1521283384.9786172,7838,3725.0
1521284641.992685,7899,725.0
1521284661.7885356,7900,800.0
1521284757.4180598,7904,4200.0
1521285341.5804954,7932,4350.0
1521286272.1252277,7975,675.0
1521286456.2966409,7983,875.0
1521286608.2092526,7991,3975.0
1521286628.7121224,7992,825.0
1521287362.3117876,8026,775.0
1521287613.4464998,8037,4100.0
1521287850.7383902,8049,4175.0
1521287914.6051207,8052,3950.0
1521288057.542608,8058,800.0
1521288216.3762882,8066,3975.0
1521289392.349361,8126,825.0
1521289878.6449199,8150,375.0
1521290005.333125,8157,825.0
1521290432.0170164,8180,4650.0
1521290512.310531,8184,825.0
1521290772.5279794,8198,750.0
1521291115.7760344,8215,475.0
1521291221.0395603,8221,825.0
1521291496.006327,8234,825.0
1521291895.300812,8254,775.0
1521292068.361855,8263,825.0
1521292379.4056282,8279,800.0
1521292629.03,8290,800.0
1521292809.2902658,8299,800.0
1521292975.242363,8307,825.0
1521293425.9291294,8327,3825.0
1521293457.5093765,8329,3700.0
1521293522.9196577,8332,3950.0
1521293552.9844892,8334,525.0
1521293684.1330483,8340,800.0
1521293925.4442701,8352,4025.0
1521294072.2753346,8360,800.0
1521294134.4740996,8363,4175.0
1521294233.6390135,8368,825.0
1521294399.574053,8375,4125.0
1521294439.236348,8377,650.0
1521295464.736361,8428,575.0
1521295674.7475007,8439,4175.0
1521295841.8483286,8447,4175.0
1521296276.7017107,8467,550.0
1521296299.24008,8468,4175.0
1521296351.6709104,8470,4375.0
1521296664.408653,8484,4250.0
1521296757.261582,8488,575.0
1521296945.3371344,8497,800.0
1521296967.976626,8498,4075.0
1521297064.2608707,8503,4075.0
1521297145.762389,8507,4350.0
1521297168.8046994,8508,4100.0
1521297464.5409148,8523,550.0
1521298124.1565516,8554,3800.0
1521298374.1631382,8566,4700.0
1521298510.7157812,8573,475.0
1521298623.4503448,8578,825.0
1521298920.7829225,8592,500.0
1521299159.0818145,8601,525.0
1521299470.192743,8616,725.0
1521299705.5874693,8627,825.0
1521299873.7049725,8634,4050.0
1521299895.524911,8635,800.0
1521300093.4974735,8644,4150.0
1521300843.1234305,8682,475.0
1521300907.051325,8685,4075.0
1521301013.6037712,8690,4375.0
1521301028.4209666,8691,400.0
1521301113.6694026,8695,450.0
1521301784.9675944,8727,500.0
1521302790.7071426,8774,825.0
1521302881.0545459,8778,4575.0
1521303258.644991,8796,750.0
1521303343.3065739,8801,725.0
1521303679.205898,8816,4125.0
1521303732.4310634,8819,500.0
1521303796.7812834,8822,300.0
1521304205.7930408,8843,4125.0
1521304422.2642562,8854,4275.0
1521304710.2435815,8868,800.0
1521304884.7202234,8878,4275.0
1521305022.6225116,8885,4350.0
1521305378.7859414,8902,750.0
1521305420.0248377,8904,4625.0
1521305473.9444509,8907,475.0
1521305902.152726,8928,450.0
1521305946.8175128,8930,825.0
1521306047.5499716,8935,800.0
1521306274.7879317,8946,525.0
1521306458.7996874,8954,775.0
1521306550.4358242,8958,4075.0
1521306935.8868694,8975,750.0
1521307325.6737082,8993,775.0
1521307446.6966317,8999,800.0
1521307571.8289118,9004,525.0
1521307666.1266012,9009,800.0
1521307722.6381903,9012,800.0
1521308055.6366484,9027,4300.0
1521308079.0185394,9028,775.0
1521308616.6755571,9055,4275.0
1521308784.0362961,9063,450.0
1521308977.1719215,9073,50.0
1521309209.651768,9084,375.0
1521309608.7320225,9105,4075.0
1521309957.4609997,9123,650.0
1521310593.1860218,9155,825.0
1521310613.7894647,9156,4175.0
1521310730.4359055,9162,425.0
1521311817.6784675,9214,4250.0
1521311853.8311067,9216,475.0
1521312041.1937895,9226,800.0
1521312175.1371367,9233,800.0
1521312748.182744,9260,4350.0
1521313223.7795131,9281,850.0
1521313442.6843073,9291,4325.0
1521313781.3115084,9307,825.0
1521313830.4630141,9309,3925.0
1521313969.0865316,9316,800.0
1521314683.5425017,9348,25.0
1521314781.860113,9353,475.0
1521314992.4398139,9364,875.0
1521315008.9906473,9365,800.0
1521315081.608326,9369,450.0
1521316077.336006,9412,875.0
1521316131.3512802,9415,875.0
1521316564.8815286,9435,775.0
1521316705.3461769,9441,4125.0
1521316726.3741956,9442,900.0
1521317279.5825536,9468,4075.0
1521317439.712106,9475,3975.0
1521317591.2369535,9482,800.0
1521318757.845964,9537,700.0
1521318773.788007,9538,450.0
1521318947.917629,9547,4275.0
1521319087.3702462,9554,4025.0
1521319139.5584366,9557,950.0
1521319283.8463328,9564,3975.0
